Область,Рік,Середній бал з Історії України
2019,Вінницька область,134.4660043093129
2019,Волинська область,136.1499013806706
2019,Дніпропетровська область,134.26583954833762
2019,Донецька область,135.47051316496507
2019,Житомирська область,134.19155437167032
2019,Закарпатська область,127.70581133290406
2019,Запорізька область,133.23943905817174
2019,Івано-Франківська область,135.02527025129862
2019,Київська область,136.6020141250327
2019,Кіровоградська область,135.65520882214923
2019,Луганська область,134.04959746981024
2019,Львівська область,139.96986321960017
2019,Миколаївська область,131.9119197243057
2019,м.Київ,140.67581439912402
2019,Одеська область,133.01464435146443
2019,Полтавська область,135.865433769358
2019,Рівненська область,133.2726971942827
2019,Сумська область,135.93597312703582
2019,Тернопільська область,136.2924379053947
2019,Харківська область,138.54213509683515
2019,Херсонська область,132.2094543387647
2019,Хмельницька область,136.5789821061895
2019,Черкаська область,137.6746349269854
2019,Чернівецька область,131.09225395520855
2019,Чернігівська область,136.54666535122337
2020,Вінницька область,133.5556752873563
2020,Волинська область,135.28752515090542
2020,Дніпропетровська область,131.92815226011103
2020,Донецька область,131.56607400288323
2020,Житомирська область,132.63088477743176
2020,Закарпатська область,129.91932013769363
2020,Запорізька область,130.9957777777778
2020,Івано-Франківська область,136.67460983386474
2020,Київська область,133.78113180098924
2020,Кіровоградська область,132.492413398225
2020,Луганська область,132.05077096652877
2020,Львівська область,141.27651144154572
2020,Миколаївська область,130.3373423633816
2020,м.Київ,138.20442238267148
2020,Одеська область,131.2200047376525
2020,Полтавська область,133.1554507527662
2020,Рівненська область,135.56704438149197
2020,Сумська область,134.7534175909208
2020,Тернопільська область,137.9610456705931
2020,Харківська область,135.19580970384374
2020,Херсонська область,131.7137818090199
2020,Хмельницька область,135.6108715184187
2020,Черкаська область,133.82714495489827
2020,Чернівецька область,133.4536685179772
2020,Чернігівська область,134.79443511633485
